Epoch,Model,train_loss_mean,train_loss_std,train_loss_min,train_loss_max,train_acc_mean,train_acc_std,train_acc_min,train_acc_max,train_auc_mean,train_auc_std,train_auc_min,train_auc_max,train_sens_mean,train_sens_std,train_sens_min,train_sens_max,train_spec_mean,train_spec_std,train_spec_min,train_spec_max,val_loss_mean,val_loss_std,val_loss_min,val_loss_max,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,val_auc_mean,val_auc_std,val_auc_min,val_auc_max,val_sens_mean,val_sens_std,val_sens_min,val_sens_max,val_spec_mean,val_spec_std,val_spec_min,val_spec_max
1,Shallow,0.6690922508637109,0.009824899056779716,0.6503550112247467,0.6779721826314926,0.6085286458333333,0.058506735157678784,0.544921875,0.6806640625,0.7648747385095878,0.011733775923148613,0.7449847136020331,0.7797686429829154,0.40459526019361397,0.32417540397614425,0.09607270366764038,0.8391927083333334,0.8126075530417607,0.21086756754739952,0.5071614583333334,0.9964087495919034,0.6224148452281952,0.009528226886080017,0.6104644536972046,0.6324295103549957,0.7368750000000001,0.03433520423705092,0.695,0.771875,0.8429978124999999,0.014028385820907355,0.8279015624999999,0.8680375,0.56175,0.10201899332967365,0.43625,0.66625,0.9119999999999999,0.03969886648255842,0.85375,0.95375
2,Shallow,0.567612786591053,0.0094627502702937,0.5499371687571207,0.5779158721367518,0.7496744791666666,0.005813987988115806,0.7438151041666666,0.7569986979166666,0.8273570758204796,0.009854689017344691,0.8159279098434353,0.8424730214302669,0.6139991898968208,0.027824317030052833,0.5828460038986355,0.6547347868532378,0.8854452019520782,0.01717615389866073,0.8593292087267991,0.906392694063927,0.5073580026626587,0.033225912606226954,0.46251727640628815,0.5629838407039642,0.769,0.015291950496911755,0.7475,0.791875,0.8445590624999999,0.014994974464122571,0.82476640625,0.87042890625,0.72,0.010982941318244406,0.705,0.735,0.818,0.03546653352105335,0.76,0.8575
3,Shallow,0.497292681535085,0.010422940752222743,0.4856991817553838,0.5158368597428004,0.77568359375,0.006799724269088661,0.7698567708333334,0.7877604166666666,0.8451941153779814,0.004075154675200581,0.8399163816941693,0.8510024739583747,0.753063132240614,0.008302265606240129,0.7428292046936115,0.7672216780933725,0.7982842586393772,0.008636945121328518,0.788235294117647,0.8082057961576034,0.4658561110496521,0.026432941144899583,0.43082308769226074,0.5086236149072647,0.7851250000000001,0.019587145019119023,0.753125,0.808125,0.8612340625,0.014674124125400347,0.8365148437500001,0.8804640625000001,0.74975,0.022099208130609553,0.71875,0.7725,0.8205,0.03613862199918529,0.74875,0.845
4,Shallow,0.46382628232240675,0.004741242133142845,0.4596698507666588,0.4727444698413213,0.7884114583333333,0.004831545093380216,0.7799479166666666,0.7939453125,0.8627998681705298,0.003033724612737183,0.8571308378138385,0.8654381821354954,0.7554250520274965,0.01898574694536252,0.7319453480806767,0.7894565571103157,0.821305779027435,0.011604725533660295,0.7984369912080755,0.8300356795329225,0.4530023843050003,0.02227540286745668,0.42172589898109436,0.4894380420446396,0.79,0.02138924963620745,0.756875,0.820625,0.86937421875,0.01296341412255623,0.848753125,0.88929609375,0.7537499999999999,0.0244565942027912,0.72375,0.79,0.8262499999999999,0.025421447637772297,0.78,0.85125
5,Shallow,0.4535165910919507,0.005860615164806573,0.44531749685605365,0.45850228269894916,0.7947265625000001,0.0055236962530740355,0.7880859375,0.8015950520833334,0.8689995260032477,0.0038860812258892127,0.8652844039185945,0.8740608246040773,0.758679674947377,0.006382436566116699,0.7503250975292588,0.768678629690049,0.8307998925562423,0.005383634016196131,0.8246985988921472,0.8391927083333334,0.4429996132850647,0.020659658820188172,0.4103088676929474,0.47389328479766846,0.7957500000000001,0.0206018809820851,0.764375,0.828125,0.8753048437500001,0.011271450615364834,0.8582945312500002,0.89354609375,0.76525,0.025216562017848488,0.73375,0.7975,0.8262499999999999,0.02180882848756438,0.795,0.85875
6,Shallow,0.44000378151734676,0.006347438824466682,0.43150218576192856,0.4487388953566551,0.8004557291666666,0.004450240065139166,0.7932942708333334,0.8064778645833334,0.8776115206953159,0.004303300947785993,0.8714615368965285,0.8823845184763761,0.7706109139199652,0.005481950057176939,0.7645528455284553,0.7798701298701298,0.8303121230361393,0.00867666966641637,0.8191906005221932,0.8397790055248618,0.43522304892539976,0.019678750983718553,0.4035321772098541,0.4652399271726608,0.798875,0.01775000000000001,0.7725,0.8275,0.8798812500000001,0.011013917897422867,0.86331484375,0.8979890625,0.7779999999999999,0.022186707732333815,0.74125,0.805,0.81975,0.01808659724768593,0.79875,0.85
7,Shallow,0.4339240774512291,0.005887045786667459,0.4264528155326843,0.43987104793389636,0.80537109375,0.003962004448261874,0.7996419270833334,0.8113606770833334,0.8815465994510848,0.0039117914612946895,0.8776344238017167,0.8863909824868924,0.7879625956163674,0.003813020180476587,0.7832625040863027,0.7945472249269717,0.8227827221788655,0.004688927414011778,0.8158833063209077,0.8282729350310153,0.42962378859519956,0.019651010531484995,0.3963767737150192,0.4569867253303528,0.801375,0.01360950954296298,0.781875,0.821875,0.8836437500000001,0.010761558704572158,0.86838515625,0.902075,0.77975,0.022630178965266708,0.75,0.8075,0.8230000000000001,0.022102036105300354,0.7825,0.84625
8,Shallow,0.4250907704234123,0.00751695537884772,0.4121498341361682,0.43405182907978695,0.808984375,0.0051967237144537855,0.8020833333333334,0.8181966145833334,0.8869599875644131,0.004410865205164569,0.8814131877389155,0.8943574581525017,0.789255409361283,0.006746851471463711,0.7801626016260162,0.7975919297103807,0.8286554946315569,0.006303716522656955,0.8216374269005848,0.8388147183327906,0.424999874830246,0.020541505868385074,0.3913796842098236,0.4557320475578308,0.8049999999999999,0.013270032027090213,0.784375,0.82625,0.88711921875,0.011512951336921705,0.8696210937500002,0.9057835937500001,0.8009999999999999,0.026825827107472416,0.7525,0.8275,0.8089999999999999,0.032714675605911146,0.75875,0.85625
9,Shallow,0.4206537375847499,0.006882795585171257,0.41347528000672656,0.4322514533996582,0.81025390625,0.003396042019725243,0.8046875,0.8151041666666666,0.8893921737632067,0.004118309293218717,0.8824977906535639,0.8932387450789077,0.7937677355225132,0.006214886148370071,0.7865972674040338,0.8027985681744224,0.8266976817657621,0.0028860620348506926,0.8228013029315961,0.8314935064935065,0.42057812213897705,0.020352227481542206,0.386245459318161,0.4477766901254654,0.8045,0.012186057606953949,0.793125,0.828125,0.8889681249999999,0.011488731820261586,0.8737359375,0.90839453125,0.79925,0.010653637876331234,0.79,0.82,0.80975,0.01383835250309807,0.79625,0.83625
10,Shallow,0.4117660095294317,0.007432822506748506,0.4028773531317711,0.4235497812430064,0.8171549479166668,0.0037802486442406052,0.8103841145833334,0.82080078125,0.8942783368660564,0.004331956452686888,0.887460438259525,0.8992447951849997,0.8091967060932548,0.007418853203326115,0.7948467058056099,0.8160807291666666,0.8251030405252683,0.0030939723634712973,0.8203788373612019,0.8299186991869919,0.4191713988780975,0.02016859939959127,0.3874966949224472,0.44872672855854034,0.807625,0.013336978668349157,0.7925,0.831875,0.89021046875,0.011170491376295416,0.87371015625,0.90758671875,0.79125,0.021462176031334743,0.76875,0.8225,0.8240000000000001,0.013238202294873746,0.80875,0.84125
