Epoch,Model,train_loss_mean,train_loss_std,train_loss_min,train_loss_max,train_acc_mean,train_acc_std,train_acc_min,train_acc_max,train_auc_mean,train_auc_std,train_auc_min,train_auc_max,train_sens_mean,train_sens_std,train_sens_min,train_sens_max,train_spec_mean,train_spec_std,train_spec_min,train_spec_max,val_loss_mean,val_loss_std,val_loss_min,val_loss_max,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,val_auc_mean,val_auc_std,val_auc_min,val_auc_max,val_sens_mean,val_sens_std,val_sens_min,val_sens_max,val_spec_mean,val_spec_std,val_spec_min,val_spec_max
21,Deep,0.5470732639233271,0.01459163314273533,0.5308329512675604,0.5707936435937881,0.76865234375,0.006749044719648913,0.7591145833333334,0.7794596354166666,0.809058415861104,0.01029755567351305,0.7908287865023784,0.8214414687438408,0.8503070776260133,0.03453316723648294,0.8157040882543802,0.8947026324341891,0.6869691148039686,0.03877984486239458,0.6395575797007157,0.731245923026745,0.6259698927402496,0.0351164844347451,0.5675354599952698,0.6617288887500763,0.659375,0.10204701734984713,0.53125,0.810625,0.8085639062500001,0.035931668818359394,0.7524289062500001,0.84438671875,0.9652499999999999,0.03869269956981548,0.89375,1.0,0.35350000000000004,0.24077141649290518,0.0625,0.7275
22,Deep,0.542232515414556,0.011493578416300654,0.5300893113017082,0.5616581737995148,0.77041015625,0.0035786570709145076,0.7654622395833334,0.7740885416666666,0.8137892748478011,0.011215511891214173,0.7969676968222403,0.8323254809255803,0.8339935045093807,0.03643386940358092,0.7906749266384089,0.8906605922551253,0.7067039831513366,0.03664643219862569,0.6431129925105828,0.7446393762183235,0.6059538185596466,0.03364625035813517,0.5754672586917877,0.6563342213630676,0.7067500000000001,0.07466529481626655,0.5725,0.765625,0.8129907812500001,0.02803231033477402,0.7669359375,0.8448320312500001,0.9422499999999999,0.041633820386796146,0.88625,0.9975,0.47124999999999995,0.18671167612123243,0.1475,0.62125
23,Deep,0.5402578150232633,0.010775365232369931,0.5311732341845831,0.5594199746847153,0.772265625,0.006838572160934158,0.7620442708333334,0.78125,0.813915227633867,0.011040398279993991,0.7931646742212063,0.8258127451804209,0.8419670279440347,0.0334303797912179,0.8077549690452916,0.88582549464807,0.7022990669758913,0.03790692394776984,0.6567893194399218,0.7439502943100066,0.625057828426361,0.037738912848959555,0.566929042339325,0.6637420952320099,0.688125,0.06922337033112444,0.59375,0.79375,0.8105212500000001,0.028675673464328772,0.7648726562500001,0.8474929687499999,0.9570000000000001,0.04616275555033515,0.8675,0.995,0.41925000000000007,0.18046398532671273,0.1925,0.72
24,Deep,0.5372487679123877,0.011268343518050259,0.5218185037374496,0.5555556068817774,0.779296875,0.007341920160253709,0.7659505208333334,0.7884114583333334,0.8177891671575409,0.005050606108297138,0.8085380391475365,0.8237426454420946,0.8428615224766688,0.02769672781795639,0.8109775901266645,0.8809756097560976,0.7156167974982842,0.02888427625118536,0.6777451938742262,0.765742251223491,0.6146229863166809,0.030821420917532903,0.5803350210189819,0.6631418168544769,0.6783750000000001,0.09147199024838153,0.53875,0.77875,0.8052179687499998,0.024988172622184616,0.77849296875,0.8441406250000001,0.9570000000000001,0.03611267090648378,0.89375,0.9975,0.39975000000000005,0.214938072476702,0.08,0.66375
25,Deep,0.5323964556058247,0.008148603414244176,0.5236818790435791,0.546286091208458,0.7739257812499999,0.006237781024480987,0.7662760416666666,0.783203125,0.8208632242693457,0.004728475971061946,0.8144430917573602,0.8281079728748558,0.824002136365641,0.03684132544805741,0.7872549019607843,0.8736192332683561,0.7237921086880463,0.047088759708184165,0.6585127201565558,0.7791828793774319,0.5977468073368073,0.03473845787626949,0.560795247554779,0.6415116786956787,0.6940000000000001,0.09768620040722234,0.55375,0.800625,0.82550671875,0.02343278224705492,0.79664140625,0.8618859375000001,0.9445,0.05667120079899491,0.8425,0.9975,0.44350000000000006,0.2453637605678557,0.11,0.75875
26,Deep,0.5336037799715995,0.009714448418945634,0.5230377266804377,0.5487231314182281,0.7767903645833332,0.0029916055288770806,0.77197265625,0.7794596354166666,0.819561301405242,0.007298163866814314,0.8097986420724422,0.8306133017360023,0.8273504984388345,0.033471590901041015,0.7782495101241019,0.8723056825604181,0.726383168686401,0.03392809611737923,0.6862426995457496,0.7796885139519792,0.5957963407039643,0.026603960302114434,0.5628791749477386,0.6275365948677063,0.7049999999999998,0.06946334465025422,0.625,0.8025,0.8267651562499999,0.023453014743036973,0.79624609375,0.860659375,0.9469999999999998,0.053400608610764,0.84625,0.99375,0.4630000000000001,0.18832252918862366,0.2575,0.75875
27,Deep,0.5277121990919114,0.013550448716079976,0.5105655938386917,0.5465435087680817,0.7780924479166667,0.008209710278372636,0.7625325520833334,0.7848307291666666,0.8252204908532276,0.00877636395556675,0.8140614403546845,0.8384714813973361,0.8033912317334447,0.039078684806733086,0.7665903890160183,0.852922077922078,0.752831968241573,0.03596385266751282,0.7030026109660574,0.7935170178282009,0.5950034141540528,0.02389891341967848,0.5698952376842499,0.6237393021583557,0.7104999999999999,0.0745301952231443,0.613125,0.790625,0.8276640625,0.02624090361830317,0.7982218750000001,0.8679046875,0.9369999999999999,0.056172724698024055,0.86625,0.99,0.484,0.20011309302491928,0.23625,0.71
28,Deep,0.5265410120288532,0.005729643879289924,0.5191798234979311,0.5336902936299642,0.7792317708333334,0.004213703418042839,0.7736002604166666,0.7859700520833334,0.826054505780031,0.00605097850863404,0.818661738258012,0.836296030992506,0.806273511032097,0.035458454609728796,0.7660475724991854,0.8568181818181818,0.7520039541073581,0.03526670783629856,0.710509138381201,0.7960975609756098,0.5954413652420044,0.026847659780217466,0.5582272708415985,0.6362314820289612,0.703375,0.06540570502639657,0.591875,0.76625,0.83757515625,0.021006307288489345,0.817353125,0.8759429687500002,0.9670000000000002,0.021945956347354762,0.93375,0.9925,0.4397499999999999,0.1499404048280516,0.19125,0.5875
29,Deep,0.5272213275233903,0.009528467866794461,0.5149863585829735,0.5377398033936819,0.7758463541666666,0.0028811811996561224,0.7726236979166666,0.7805989583333334,0.8222336760112622,0.0072472167792232665,0.8152487347124666,0.8352844275669975,0.816463278300828,0.04591189054955709,0.7562091503267974,0.8857702349869452,0.7353121640302502,0.0444797491741387,0.6668831168831169,0.7889105058365758,0.6164185464382171,0.023967394977634834,0.5774789154529572,0.6453396677970886,0.6668749999999999,0.04102781068982355,0.6125,0.72875,0.83461078125,0.018909394098073327,0.8007,0.8531765625,0.976,0.01919309771766925,0.9425,0.9975,0.35774999999999996,0.10087863995911127,0.2275,0.515
30,Deep,0.5168128142754236,0.007001674499817381,0.5074032619595528,0.5232828507820765,0.7813802083333334,0.006432970348389242,0.7732747395833334,0.7890625,0.8288997915085516,0.006268605879203787,0.8226958497511054,0.8401597701347955,0.7944676114215259,0.04791990525899932,0.742458644177749,0.8570026178010471,0.7684518945587573,0.035634653762154904,0.7215025906735751,0.8088283024991886,0.5991125285625458,0.022794874103519998,0.563862532377243,0.6242896914482117,0.6941249999999999,0.044973255941726076,0.623125,0.7475,0.8408053124999999,0.020696705646294875,0.809796875,0.8729648437499999,0.9734999999999999,0.016571813419176556,0.94625,0.9975,0.41475,0.10378884814853667,0.24875,0.525
