Epoch,Model,train_loss_mean,train_loss_std,train_loss_min,train_loss_max,train_acc_mean,train_acc_std,train_acc_min,train_acc_max,train_auc_mean,train_auc_std,train_auc_min,train_auc_max,train_sens_mean,train_sens_std,train_sens_min,train_sens_max,train_spec_mean,train_spec_std,train_spec_min,train_spec_max,val_loss_mean,val_loss_std,val_loss_min,val_loss_max,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,val_auc_mean,val_auc_std,val_auc_min,val_auc_max,val_sens_mean,val_sens_std,val_sens_min,val_sens_max,val_spec_mean,val_spec_std,val_spec_min,val_spec_max
1,Medium,0.6848351905743282,0.005958991070779466,0.6755381971597672,0.6939375996589661,0.5475911458333333,0.06386554494256313,0.4978841145833333,0.6624348958333334,0.660266405757305,0.053877340737834005,0.56975982341874,0.7196326746694213,0.40442107241547465,0.4103379864122158,0.0,1.0,0.6900541338490476,0.3814576855191774,0.001961425302386401,1.0,0.6763083040714264,0.010562223241641815,0.6594607830047607,0.6923114955425262,0.6063750000000001,0.1305100570837359,0.5,0.778125,0.84747015625,0.017596393072727205,0.820859375,0.87375546875,0.53675,0.44429269631629104,0.0,1.0,0.6759999999999999,0.37023506046834626,0.0,1.0
2,Medium,0.608716973165671,0.024280877739516978,0.5800374920169512,0.6505851497252783,0.67890625,0.08610068500801105,0.5579427083333334,0.7786458333333334,0.8174084649816471,0.006735031431570679,0.8074947706836152,0.8284680690673822,0.598548245307265,0.30845792401531047,0.1512687052700065,0.9338762214983714,0.759814914406164,0.20108038625671384,0.39817826935588807,0.9651465798045603,0.5443372547626495,0.04180183780222287,0.46397265791893005,0.5837365686893463,0.79125,0.015375508121684945,0.76125,0.80375,0.86384734375,0.01658944621536304,0.8326914062499999,0.8826406250000001,0.8244999999999999,0.042782882090855005,0.7575,0.88875,0.7579999999999999,0.055343247103869835,0.68,0.84
3,Medium,0.5345378930370013,0.03244787342180266,0.47096582502126694,0.5555415799220403,0.78994140625,0.006460255982714351,0.7833658854166666,0.7991536458333334,0.8430744406214246,0.011862923030343208,0.8300067880533653,0.8652141515635868,0.7995484782514953,0.020961516595070513,0.7628832354859753,0.8272490221642764,0.7803174073022274,0.03250780626065851,0.7395968790637191,0.8352826510721247,0.5201461762189865,0.03862720487511206,0.4555610418319702,0.5698032975196838,0.7738750000000001,0.020102860492974644,0.73625,0.7925,0.8757871875,0.014084473246135057,0.8621070312499999,0.9015257812499999,0.8717500000000001,0.05675936046151328,0.78,0.93375,0.6759999999999999,0.08704668287763759,0.54375,0.805
4,Medium,0.47338654895623533,0.022296792147340528,0.4493868127465248,0.513216108083725,0.7988606770833333,0.005606523474377861,0.7913411458333334,0.8064778645833334,0.8642962094451855,0.011534496079148268,0.8449968873100266,0.8792767410792957,0.8034130765592314,0.011420466561714256,0.7890446690577111,0.8211143695014663,0.7943162846172485,0.016569281972711885,0.7616260162601626,0.8063574440480052,0.4918512493371964,0.035144487157547304,0.4413742572069168,0.526142418384552,0.78825,0.01069754644766732,0.771875,0.804375,0.8852517187499999,0.014129617153631742,0.8678804687499999,0.90922734375,0.8714999999999999,0.037603191353926334,0.80875,0.91875,0.7050000000000001,0.043409388385463356,0.64375,0.77875
5,Medium,0.4434122681617737,0.012768616741662523,0.43096920599540073,0.4670778016249339,0.8027994791666666,0.0036184096957266165,0.7967122395833334,0.8064778645833334,0.8781652990170908,0.009064084694765807,0.8604411226623254,0.8857425562115505,0.7803428508920278,0.013301483674346326,0.7588216251213985,0.7935525887333116,0.825210376904964,0.018685850105567593,0.8023369036027264,0.8546644844517185,0.44641674160957334,0.0260085495999895,0.4163171350955963,0.4843360483646393,0.8019999999999999,0.010483618173130874,0.785,0.815625,0.89003984375,0.012082671908531569,0.8727750000000001,0.909203125,0.8515,0.05172281894869998,0.76375,0.9175,0.7525000000000001,0.05309778714786521,0.7,0.83
6,Medium,0.4301610752940178,0.0066021092323890465,0.42301485935846966,0.4405061403910319,0.80966796875,0.005157836259054452,0.7996419270833334,0.814453125,0.8865508888998093,0.0036972038421843904,0.8798273954719524,0.890568535895693,0.7951379191564104,0.02260004145211768,0.7579804560260587,0.8191869918699187,0.8241679329413936,0.015052761137091739,0.8025415444770283,0.841249186727391,0.42317748069763184,0.015992006382990965,0.4022842049598694,0.44882045686244965,0.806,0.013285330255586434,0.7925,0.82875,0.8937837499999999,0.011918379785398076,0.8749773437499999,0.911853125,0.8407500000000001,0.025819082090577906,0.81375,0.88375,0.77125,0.01832007096056126,0.7525,0.80375
7,Medium,0.4192927519480388,0.005365696505400049,0.41239994019269943,0.42696060985326767,0.8140950520833334,0.003557571899040193,0.8072916666666666,0.8167317708333334,0.892170634698638,0.003367625645867195,0.886457602183024,0.8956556914542753,0.7968448081102636,0.008150749351727656,0.7832464146023468,0.807479674796748,0.8313554682066269,0.008183011586117714,0.8203125,0.8442782834850455,0.42502243518829347,0.028317253867396766,0.3872992992401123,0.47328998148441315,0.81075,0.011614914980317333,0.8025,0.83375,0.89556296875,0.012177292295754868,0.87753046875,0.9154460937500001,0.8459999999999999,0.025683165692725638,0.8,0.87375,0.7755,0.02410394158638788,0.73875,0.80875
8,Medium,0.40832523703575135,0.007706088392925093,0.398430456717809,0.4222237517436345,0.8192057291666668,0.003900005860066171,0.8121744791666666,0.82421875,0.8979978474006257,0.0038470920413567287,0.8911763365751211,0.9029555439230788,0.8072279514436931,0.009452767792244432,0.7966764418377321,0.8240078074170462,0.8311727709480721,0.007618706335423008,0.8224755700325733,0.8426016260162602,0.40997448563575745,0.017556104017952323,0.3925079107284546,0.4420098811388016,0.810875,0.010603655030224248,0.79375,0.824375,0.899714375,0.010879788003987844,0.88288515625,0.9161992187499999,0.858,0.021745689227982652,0.82875,0.89375,0.76375,0.027636027210870953,0.72,0.79875
9,Medium,0.40190549095471706,0.004440126317529302,0.39677226543426514,0.4072996104756991,0.8228190104166666,0.003562334380287597,0.8172200520833334,0.8263346354166666,0.9008087386201987,0.0017516840048711958,0.8978132969887731,0.9028014085193592,0.8071656882970647,0.011101728398057691,0.7891980360065467,0.8230291135099771,0.8383565996797551,0.007838041405058008,0.8289601554907677,0.850760764001295,0.4121095150709152,0.021870192422454665,0.37747088074684143,0.445890337228775,0.81375,0.016719188078372672,0.784375,0.835625,0.9009304687499998,0.011836268363774865,0.8853289062499999,0.92098984375,0.85025,0.04092218224875109,0.77375,0.89625,0.77725,0.052006009268160534,0.70125,0.86375
10,Medium,0.4014765510956447,0.006528497086458672,0.3929031416773796,0.41193509350220364,0.8236002604166666,0.0057548179896849076,0.8142903645833334,0.8304036458333334,0.9015907038694637,0.0032427951110568327,0.8960222562743725,0.9053276279584702,0.8042924481497671,0.014201687488509617,0.7806873977086743,0.8192771084337349,0.842766343682533,0.008938810569207955,0.831979200519987,0.8588539980576239,0.4067577809095383,0.014862411244610265,0.381960928440094,0.4286263585090637,0.8147500000000001,0.01066975866643663,0.805,0.834375,0.9002471875,0.011068309745179392,0.8863859375,0.9200828124999999,0.8400000000000001,0.02967532645144785,0.81625,0.895,0.7895,0.010594810050208535,0.77375,0.80625
